# Formato: termino|nivel(alto/medio/bajo)|nota
# Infectologia y sepsis
sepsis|alto|Sospecha de disfuncion organica por infeccion
shock septico|alto|Inestabilidad hemodinamica con infeccion
meningitis bacteriana|alto|Compromiso neurologico agudo
encefalitis|alto|Riesgo neurologico alto
neumonia grave|alto|Compromiso respiratorio potencial
neumonia|medio|Seguimiento clinico y signos de alarma
tuberculosis activa|medio|Control clinico y aislamiento segun protocolo
hepatitis fulminante|alto|Falla hepatica aguda
hepatitis cronica|medio|Seguimiento de funcion hepatica
vih avanzado|alto|Inmunosupresion significativa
inmunosupresion|medio|Mayor riesgo de complicaciones infecciosas

# Cardiovascular
infarto agudo de miocardio|alto|Evento coronario agudo
sindrome coronario agudo|alto|Prioridad alta
angina inestable|alto|Riesgo de evento mayor
insuficiencia cardiaca descompensada|alto|Riesgo hemodinamico
insuficiencia cardiaca|medio|Seguimiento cercano
arritmia inestable|alto|Riesgo de compromiso hemodinamico
fibrilacion auricular|medio|Riesgo tromboembolico
hipertension arterial sistemica|medio|Factor de riesgo cardiovascular
hipertension maligna|alto|Emergencia hipertensiva potencial
aneurisma aortico roto|alto|Riesgo vital
aneurisma|alto|Evaluar ruptura/complicacion
embolia pulmonar|alto|Compromiso respiratorio-hemodinamico
trombosis venosa profunda|medio|Riesgo tromboembolico

# Neurologia
acv isquemico|alto|Evento neurologico agudo
acv hemorragico|alto|Emergencia neurologica
ictus|alto|Evento neurologico agudo
evento vascular cerebral|alto|Prioridad alta
status epilepticus|alto|Emergencia neurologica
epilepsia refractaria|medio|Mayor complejidad de manejo
hemorragia subaracnoidea|alto|Riesgo neurologico alto
traumatismo craneoencefalico grave|alto|Compromiso neurologico

# Respiratorio
insuficiencia respiratoria aguda|alto|Riesgo de ventilacion asistida
insuficiencia respiratoria|alto|Compromiso respiratorio
epoc exacerbado|alto|Riesgo de descompensacion
epoc|medio|Control funcional respiratorio
asma severa|alto|Riesgo de crisis grave
asma|medio|Seguimiento de control
sdra|alto|Sindrome de distrés respiratorio agudo
fibrosis pulmonar avanzada|alto|Compromiso funcional importante

# Nefrologia y metabolico
falla renal aguda|alto|Riesgo metabolico/hemodinamico
enfermedad renal cronica estadio 5|alto|Alto riesgo de complicaciones
enfermedad renal cronica|medio|Seguimiento nefrologico
cetoacidosis diabetica|alto|Descompensacion metabolica
estado hiperosmolar|alto|Emergencia metabolica
diabetes mellitus|medio|Control metabolico continuo
hipoglucemia severa|alto|Riesgo neurologico
hipercalemia severa|alto|Riesgo arritmico

# Gastro-hepatico
hemorragia digestiva alta|alto|Riesgo hemodinamico
hemorragia digestiva|alto|Sangrado significativo
pancreatitis aguda grave|alto|Riesgo sistemico
pancreatitis cronica|medio|Seguimiento clinico
cirrosis descompensada|alto|Riesgo de falla hepatica
cirrosis hepatica|medio|Seguimiento y deteccion de complicaciones
peritonitis bacteriana espontanea|alto|Complicacion grave en cirrosis
obstruccion intestinal complicada|alto|Riesgo quirurgico

# Oncologia y hematologia
cancer metastasico|alto|Enfermedad avanzada
neoplasia maligna|alto|Riesgo oncologico alto
carcinoma hepatocelular|alto|Oncologia hepatica
leucemia aguda|alto|Compromiso hematologico grave
linfoma agresivo|alto|Riesgo alto
mieloma multiple avanzado|alto|Complicaciones multiorganicas
cancer de mama|medio|Seguimiento oncologico segun estadio
cancer de pulmon|alto|Alta carga de riesgo segun estadio
cancer colorrectal|medio|Riesgo variable segun estadio

# Obstetricia
preeclampsia severa|alto|Complicacion obstetrica mayor
eclampsia|alto|Emergencia obstetrica
hemorragia obstetrica|alto|Riesgo vital
embarazo ectopico roto|alto|Emergencia quirurgica
embarazo de alto riesgo|medio|Seguimiento estrecho

# Psiquiatria (riesgo clinico)
riesgo suicida alto|alto|Intervencion inmediata
